,description
8333,"Brand New, Stylish and Sophisticated, Bright, Open loft space in the heart of NYC. Convenience, space and luxury. You have not seen anything like this. We offer a large multifunctional home for your NYC visit. Stay with your family or friends, enjoy our array of entertainment, space and charm. This beautiful space comes fully equipped to feel like home. Work or play, we are here to add an amazing experience to your visit to NYC . We are centrally located in Manhattan in a prime, secure and safe neighborhood. Our apartment is a newly renovated converted floor through loft with 12' ceilings. Our designer and builder constructed 3 private bedrooms, maintaining the integrity of an open loft feel and look. This means that the walls were built to standard height of 8'.5"" Traveling with friends and family? We offer a unique NYC experience. Fantastic game options available: Air Hockey, Chess, and the list goes on. Our living room comes fully furnished with: 1. Large flat screen wall mounted"
8524,"The High life in this Penthouse in the very sleek Upper East Side Central Park. In keeping with its surroundings, this Upper East Side Penthouse is sleek and sophisticated."
8639,"*Big Jan-Feb discount* Luxury Nolita living. Arrive via key-locked elevator into a full-floor, modern, meticulously decorated 2,000 SF+, 2 BR loft in the heart of Nolita/Soho. 3 exposures with incomparable views, tons of light & air, 11 FT ceilings and two balconies totaling an additional ~250 SF of outdoor space. Sleek, open kitchen and your own laundry room. Smart-home technology. Very private and unique loft...not comparable most listings. *Photo/video shoots welcome* Light-filled, large loft with three exposures and unique views of the entire downtown skyline, including the Freedom Tower and Empire State Building. In the heart of Nolita/Soho areas. Keyed elevator access - no other neighbors on the floor and no noise. Two private balconies with plenty of furniture, totaling approximately 250 SF. Even though it is a large modern space, it has cozy feeling to it. Three ceiling fans in the living room and one in each bedroom. As a fully automated home, you can control almost every asp"
8828,"Our amazing triplex in the best neighborhood of Brooklyn is perfect for families. It has 5 bedrooms plus additional space for sleeping in the 2 living areas. You will be 30 sec. away from the train and close to the best dining. 30 day bookings are required by NYC law even in 1-2 family homes. Even though it is located in one of the most energized cities in the world, this New York brownstone is natural haven. It has three gorgeous and light filled floors looking onto ecologically landscaped gardens and water features. The roof deck boasts 360 views of the city and is shaded by a pergola and surrounded by a green roof. In the front you access the house via a bridge over a natural water feature with native fish and turtles. In the back there is a glass deck overlooking a large ecologically landscaped garden with a natural swimming pool - bring your bathing suit! Inside the house are all reclaimed antique wood floors, clay walls, and large bright sunny rooms. The design is spacious and mo"
8883,"Beautiful luxury 3 REAL bedrooms 2 bathrooms high floor with a lovely terrace. Right by the Empire state building, Macys. Amazing river & city views. New York skyline from every room. specious and modern. perfect for families, big groups, friends or couples. in the heart of manhattan. near by many restaurants, shops, museums, and more."
8953,"very bright, large 1,600 square foot apt with balcony! Close to subway and central park, museum mile, and lot's of restaurants, shopping."
9441,"Excellent location in the Upper East Side. Close to Central Park, Restaurants, pubs. The Super Bowl is just a short cab ride or subway away! Before and after the Super Bowl -- enjoy all that NYC has to offer at your doorstep."
9471,Spacious 6 bedroom apartment in the heart of NYC. 5 blocks to Central park 8 blocks to Times Square. Centrally located w/ 3 different subway stations at walking distance.
9473,"Huge midtown apartment 30th floor NYC views. 2 bedrooms one with a queen bed the other with a full. Couch that turns into a queen. 2 Full Bath. Rooftop and gym on the 36th Floor. Walking distant from Time Square. Full kitchen if you are cooking, great restaurants all around if you are going out."
9478,"Located on the 15th and 16th floors and feature custom-designed furnishings and upholstery. Rich hardwood floors in foyer, living, and dining area, which includes dining table with seating for six. Kitchen includes granite countertops, stainless steel Fisher Paykel appliances, Nespresso machine, and full range of accessories. Bedroom features king size bed and pillows with luxurious Sferra Italian linens, a.sleep king mattress, designed exclusively for AKA, and furniture of exotic, dark massacar ebony wood and fine lacquers. Living room, dining room and bedroom lighting have been hand-selected and imported from Italy and complement the grey palette. Elegant accents such as original photography and Meco blackout window treatments enhance the Penthouse experience. Marble clad bathroom with glass mosaic accents. 55’ 4K HDTV in living room and 50 ‘ HDTV in bedroom, equipped with AppleTV. USB charging dock station, conveniently located in the bedroom. a.lounge Features relaxed seating areas"
9502,"Hi I am a design student, and Im looking for someone who would like to sublet my lovely and cozy room in Bed Stuy, Brooklyn. For the hole June, 2016. I live with three other cool and respectful roommates, right next to the G train (Bedford/Nostrand) G train and bike stations, nearby"
9748,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenues, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and business centers! This space is close to Grand Central Terminal, 5th Ave (shopping!!!) and the New York Public Library. A perfect destination for couples, solo adventurers, big groups and families!! Seamlessly merging serene surroundings with an enviable location in the heart of vibrant midtown Manhattan, our studio boasts boutique-style elegance and a premier address just steps from everything that this world-renowned city has to offer. Located in the epicenter of midtown Manhattan, you’ll experience express dry-cleaning, valet service, business center, fitness center and rooftop views of New York. A complimentary beverage station serving coffee, tea and fruit infused water is served throughout the day in the lobby. Guests can also enjoy a view of"
9816,"Spacious and modern luxury 3 bedroom Chelsea loft, walking distance to Flatiron, The Highline, Madison Park and downtown Barneys. The long entry hallway with custom carpets sets the stage for the quiet luxury that immediately greets and surrounds you as you enter the main mail living area which spans 70 feet with lots of lights flooding in overlooking the famed Chelsea hotel. The flat is luxuriously appointed and designed throughout. The beds and bedding are five star hotel lux."
10280,Approx. 1200 sq ft 2nd-story loft apt in the heart of Union Square (14th Street & University). 30 mins from Super Bowl! Outdoor area. Apt has zero noise from street. Very comfortably sleeps 5 with lots of extra space to spare. Only at the beginning. Will also be available by phone. Tons of amazing restaurants and bars within blocks. Very close to all Downtown neighborhoods while also not too far from midtown Subway is right on the doorstep basically
10311,"Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Pacific Street III is a 3 bedroom, 2 bathroom home in Boerum Hill. Located on the parlor and garden floors of a traditional townhouse, this home has recently restored sitting and dining rooms that look out onto a lush south-facing garden. The eat-in kitchen is impressive – equipped for serious cooks, it also has marble counters and large glass doors opening onto a deck for outdoor dining. Downstairs, the master bedroom suite has a bath with shower and whirlpool tub, as well as access to the garden. Two additional large bedrooms, one with twin beds and the other with a queen bed, have beautiful views of the front and back gardens.: Outside, Boerum Hill is noted for its landmarked nineteenth century row houses built along tree-lined streets, proximity to Prospect Park, as well as hip boutiques and quaint cafes. The neighborhood also offers abundant cultural/ent"
10622,"Find absolute perfection in this triple mint, state of the art top floor duplex with private roof deck in one of the most sought after West Village blocks. This rarely available home in an intimate three unit landmark townhouse condominium, recently underwent an extensive gut renovation that left no detail overlooked or expense spared. The lower floor features a king size master bedroom with casement windows facing south over tree tops, a new gas fireplace, a custom built in wooden vanity/desk and a generous sized walk in closet. The second bedroom features include a custom built in Murphy bed, an infra red sauna and steam washer/dryer. Each bedroom has en suite full bathrooms finished with stone tile, Carrera marble, custom cabinetry, tempered glass shower doors and Axor/Hansgrohe fixtures. The main floor features a beautiful windowed chef's kitchen with south facing windows above a gas fireplace, statuary marble counter tops, Subzero, Bosch and Gaggenau appliances, Hansgrohe fixtures"
11043,For Carol
11118,"Welcome to my lovely home, outfitted and furnished luxuriously for your stay. One of the last few actual houses in this part of the city, my home is a rare treasure. Just two blocks from the electric center of the city, Times Square and the best restaurants in the city are a stones throw away. Our block is home to many of NYCs successful families, so it is safe + quiet. With 3 bedrooms, everyone can enjoy the comforts of their own room. The townhouse is 2000 sf, sprawling across 2 floors, this apartment is perfect for large groups. Nestled in a quiet, beautiful tree lined block, you will forget you're right in the middle of busy midtown Manhattan. 3 bedrooms sleep 8 very comfortably across 4 queen sized beds, and additional sleep space is available by way of 2 generously sized sleeper sofas plus an additional futon - plenty of different sleeping arrangements can be accommodated. The tall ceilings and in the living room make it a great space to kick back and hang out after a long day of"
11278,"Included amenities: Wifi, iPhone, Welcome Pack, Toiletries, Area Tips, Cleaning, Fridge Fill Service, Cafetiere, 24/7 Support. Calm and cool: Hoffman Place is right in the heart of the action, amid Chelsea’s upscale art galleries and sophisticated brunch spots. Inside, a simple palette gives the home a calm feel, but the contemporary furniture keeps it looking cool. Heading down the hallway, you’ll come first to the second bedroom, which has a sunny orange feature wall and an all-white bunk bed. Next is the master bedroom, an understated space with a queen-size platform bed and a full length mirror. Next, you’ll find the bathroom, a simple space with a bath and an integrated shower. At the end of the hallway, a door on the right leads to the open living area straight ahead. The chic sitting room is furnished with a low sofa and trio of modish chairs around a cow-hide rug, and the tulip dining table seats four. Past the dining room, there’s a sleek modern kitchen with stainless stee"
11384,"This grand duplex apartment is centrally located in Manhattan. On the lower floor, 2 large master suites with 2 ensuite bathrooms open onto a large kitchenette. The upper floor boasts 2 more bedrooms and 2 more ensuite bathrooms, an open living/dining and kitchen space leading to a serene balcony. Palazzo is ideal for large groups or business travelers, where the living room functions as the perfect meeting room, while each bedroom with its ensuite bathroom provides guests with total privacy. Commercially operated duplex apartment designed exclusively for guest use. Palazzo contains 4 bedrooms, each with a full ensuite bathroom. Fully equipped completely private kitchen on top floor, balcony with sofas, cable TV and free wifi. There is an extra kitchenette on lower floor between the two master suites. In the kitchenette, there is also a washer/dryer. Building is classified as a passive house (German: Passivhaus): a rigorous, voluntary standard for energy efficiency in a building, reduc"
11402,"Top Luxury loft in the hearth of Chelsea. 4 bedrooms, 2.5 bathrooms. Completely renewed in July 2018. The loft is located in the hearth of Chelsea, the most trendy and coolest area in Manhattan, few steps away from top restaurants, bars, museums, theatre, and touristic attraction (i.e. empire state building). You can go anywhere in the city using all transportation available in the block (subways, buses, trains, etc.) The area is very quiet, safe and clean. The interior space is luxurious and decorated with top of the line Italian design furnitures. It was completely renovated in July 2018. Everything is completely new, including the 2.5 bathrooms. More in details below. MASTER SUITE Queen size bed, cable TV connected to internet (netflix, etc.), window, private exit on the fire escape stairs (typical NY style), AC unit (a little noisy but you don't need it all the time as the room is very fresh), private enormous bathroom with shower and bath, huge walking closet, high speed wifi in"
11599,"This room is in a rand new apartment building, available for the month of February. In between Flushing Av J/M train and Morgan Av L train. 15min away from Lower East Side or Union Sq in Manhattan. We all share the living room, kitchen and 1.5 bathrooms. Although we barely run into each other. 1st floor, no walk ups. No pets. No couples. All my belongings will be packed away once the room is taken, letting both closets free to use. This is while I travel to visit my family."
11740,"Huge & Sunny Master Bedroom in Brooklyn with Private Balcony, 2 closets & Private Bathroom available APRIL 24 - MAY 26 (I am moving out of state and need to fill the room ASAP) Call me to see the room this week (Phone number hidden by Airbnb) *Also - I am selling my furniture, (Bed, 2 dressers, bookcase, desk)for $300. The room for rent is HUGE with a private bathroom and balcony with a view of the Statue of Liberty. You can see the NYC skyline from our roof. *Price is $900/month including all utilities (electric, satellite cable, gas, internet) The apartment is located on the top floor of a 3 story brick building. It is a 3 bedroom with 2 full bathrooms and 2 balconies. There is a full kitchen as well as a living room/dining room. Hardwood floors with lots of light. It is in the Gowanus neighborhood of lower Brooklyn - also known as South Park Slope. (15th street between 3rd and 4th Avenues.) It's an a amazing space and neighborhood and the NY Times just wrote an article about ho"
11885,"Amazingly Newly renovated luxury Full 2 Bed 3 Bath On the 40th Floor. Amazing views Of the City. 3 Blocks from the Park. Both Bedrooms are big, Both with King size beds. Walking distance from: 1) Central Park 2) 5th Avenue 3) Museum Mile 4) Billionaire's Row (57th street) 5) Manhattan nightlife 6) The Plaza Hotel Luxury 2 Bedroom 3 Bath In A Beautiful Doorman Building Full access to the apartment We can offer Help at any time. Great neighborhood next to the park and Bloomingdale. Subway is 2 blocks away. Enjoy"
11896,"Come stay at Refuge Recording! Our space has 3 bedrooms, one bath and a full service recording studio. Bands and artists welcome! We can provide an audio engineer for any recording needs. In the heart of beautiful Carroll Gardens Brooklyn. Refuge Recording Studio is a full service recording studio with 3 bedrooms. Please let us know if you plan to record here, and we can help provide an audio engineer for an extra fee. The space is great for touring bands! We will help guests at check in, and be available on call for any needs. Carroll Gardens is home to amazing restaurants including Buttermilk Channel, Prime Meats, Frankie's 457 and Momofuku. There are also many fun bars and coffee shops around, and easy access to grocery stores, delis, pharmacies, etc. The space is just 1 block from the Smith St/9th Street subway station, with access to the F and G trains. There are also many bus lines, as well as being close to the BQE."
11981,Beautiful Union Sq Home Fast Wifi Subway on the same block Pharmacy Restaurants Bars Shopping ALL in the same block
12077,"Your luxe, airy home in the city. Sleep 6+ in dual masters with king beds, beautiful modern ensuite bathrooms, queen bed in third bedroom with full bathroom in the hallway. Perfectly appointed chef’s kitchen. You get the whole apartment, all 2300 sq ft of it. Unique, colorful, luxuriously comfortable. Shared roof deck with bbq, free gym in building. Available by phone or email Eataly, Whole Foods, Trader Joe’s, best Danny Meyer restaurants within 4 block radius. Flatiron building, Madison Sq Park. The best in Manhattan. Parking garage next door. Almost all subway lines within 4 blocks. City bike a block away. Location is a short walk from everything downtown has to offer."
12351,"- 764 square feet - Corner views with Floor to Ceiling Windows - One Bedroom Suite with One King Bed - Living area with sofa - Dining Room Table with seating for six - One and a half bathrooms - Over-sized flat screen TV’s with Chromecast. Enjoy Netflix, Hulu, Pandora or any of 1,000+ apps on your hotel room TV’s - Complimentary High Speed Wireless - Complimentary In-room Nespresso machine 24/7 attended door 24/7 Resident Services Team to answer questions and offer recommendations 24/7 In-Room Dining Twice-daily housekeeping service (daily and turndown) Valet dry cleaning services Complimentary high-speed internet + Wi-Fi available in amenity spaces In room mini-bar service Valet parking available Complimentary shoe shine services Front desk is available 24/7 Tribeca is famous the world over for its Tribeca Film Festival, but the neighborhood has been drawing in visitors and locals alike for decades with its trendy bars, restaurants, and nightlife spots. One of the most popular neighbo"
12706,located in 5 star hotel unobstructed views watch thanksgiving parade -marathon--New years eve fireworks all from every-room Large Spacious 2 bedroom Condo 2 1/2 half baths Central park views from every room french doors open allowing park breeze every room faces central park best views in manhattan 5 mins from Bergdorf Goodman shopping and best food Easy check in . Newly renovated Condo brand new amazing master Bath Rooms with steam room the best hastens $ (Phone number hidden by Airbnb) beds in each room new floors new kitchen new everything enjoy manhattan at its best full use of all hotel facilitates the hotel has this year been renovated brand new gym
12881,"With an abundance of South and East-facing light Rogue Daylight Studios is a unique and central photography location in the heart of Chelsea's energized art district. Overlooking the Highline, RDS is made available as a blank canvas ready for creatives, celebrities, designers and fashionistas to have fun and actualize their creative vision. RDS supports art programs empowering children in conflict zones through our philanthropical wing (Website hidden by Airbnb)"
13070,"Stunning modern appointed 3,000 sf triplex with mesmerizing river view. 2 grand loft spaces and 2 bedrooms with option for a 3rd."
13142,This is a great family friendly 2 bedroom apartment that sleeps 6 on the upper west side. Perfect for someone coming to New York City for the Super Bowl. 1 block to subway with easy access to midtown and all super bowl festivities.
13183,"The Wyndham Midtown 45 is a serene, sophisticated oasis in the heart of midtown Manhattan. Located on 45th Street between 2nd and 3rd Avenues, Wyndham Midtown 45 is within walking distance of many of New York City’s major attractions and business centers! This space is situated close to Grand Central Terminal, 5th Ave (shopping!!!) and the New York Public Library. A perfect destination for couples, solo adventurers, big groups and families! Seamlessly merging serene surroundings with an enviable location in the heart of vibrant midtown Manhattan, our 1 Bedroom Deluxe fully renovated condo boasts boutique-style elegance and a premier address just steps from everything that this world-renowned city has to offer. Located in the epicenter of midtown Manhattan, you’ll experience express dry-cleaning, valet service, business center, fitness center and rooftop views of New York. A complimentary beverage station serving coffee, tea and fruit infused water is served throughout the day in the"
13211,"This roomy duplex can accommodate your large group without anyone feeling cramped! This apartment is a duplex located in the heart of midtown. Located one block from Times Square, a few blocks from Bryant Park, right next to 5th Avenue shopping, and close to many other NYC attractions, makes this apartment a great place to explore New York’s most desirable attractions with ease. This apartment is steps away from the B, D, F, and M trains, providing easy access to various neighborhoods in NYC! I’m available to answer and questions but I don’t interrupt the guests stay! Very lively neighborhood during the day but very quiet at night. Great restaurants, bars, etc. in the general area. Close to the theater district, Times Square, Rockefeller Center, and much more! Located close to B,D,F,M trains. Taxi’s and Uber’s are available as well. You can walk to a lot of tourists attractions as well."
13378,"7 bedrooms available in a fully renovated extremely large house, with temperature control in each room.. The home is nestled in a beautiful & vibrant neighborhood. This house should be more than accommodating for any group. Yes!! We can provide ground transportation by request. GUARANTEED FRESH SHEETS & TOWELS!!! Clinton Hill (Considered one of the Prime areas in Clinton Hill/Fort Green - Brooklyn). This apartment is ideal for making quick excursions into Manhattan. Public transportation, Tons of bars and restaurants just steps away. Keyless entry, 1 Flight walk up Extremely Prompt Sub-Urban living in the heart of DownTown Brooklyn while being within walking distance to New York City via The Brooklyn Bridge or Manhattan Bridge Uber, G, C, Q, A Trains, 54 Bus, Yellow/Green Cab, additional cab number will be provided. • Smart TV in Livingroom • Keyless apartment. You enter apartment and room via unique code entry 15 minute cab ride from LGA (Est -$30 US), 20 minute cab ride from JFK (E"
13390,"Our Brooklyn Abode is Yours. Sophisticated Shindigs are Welcome. 5 bedrooms, 3 bathrooms.. Beautiful Backyard. Fully equipped. Free parking and close to the J Train. We trust You.. Trust us!! We can guarantee that you will adore our Happy BlueHouse!! Welcome to ""The Blue House North"" An Entire Detached home in Brooklyn New York. The front door will lead you to our cherished “Piano Parlor”, furnished with a baby grand, board game table, artwork, books, an electronic drum kit, a viola, horns, and hand drums. Let the creative vibe inspire you! Enjoy a fully equipped kitchen. Our theater room sports lots of comfy beanbags and pillows, a big, bright window appointed with blackout curtains, more books, a 9x9 foot projector and an great bose sound system. Downstairs, you will find a suite to provide your guests with super cool, boho/chic accommodations including two full-sized beds and two futons.. TVs, game systems, mini fridge, microwave and a private exit to the garden out back. Upstairs"
13726,"SPECTACULAR 2000 sqft DUPLEX LOFT with 18ft ceilings steps from TIMES SQUARE and BROADWAY. Welcome to our decadent and stunning Duplex LoFT in Midtown West, Manhattan. As you enter the spacious loft you will find sky high ceilings and quality finishings galore. Two huge bedrooms, 3 levels and a great room that is ideal for entertaining and hosting large events or upscale parties. 15 ft floor to ceiling glass illuminates the LoFT with spectacular sunlight. A private 120 sqft terrace awaits.. Unique and grand are two ways to be descriptive when entering our spectacular Duplex LoFT in Midtown West. 15 ft ceilings throughout entire LoFT and 18ft in great room area. Two Huge bedrooms with floor to ceiling glass and a private 120 sqft terrace with BBQ and outdoor seating for those who enjoy grilling outdoors! Large dark oak kitchen with stainless steel appliances, white marble bathroom with steam shower. Sunken great room is entered under a grand black chandelier. Seating for 15/20 with fu"
13971,"1500 square feet loft style location 10-15 mins from prospect park, Brooklyn museums are in the area as well. Just minutes away"
14038,"Modern 3 story, 4 bedroom, 3.5 bathroom, luxury townhouse in the heart of the East Village, directly off Tompkins Square Park. Exceptionally spacious and bright with stunning skylit atrium over dining room, central air, top of the line appliances, great sound system compatible with your bluetooth, fireplace and large garden terrace off kitchen with a BBQ, pagoda, and outdoor table with fairy lights for summer dining during the day and in the evening. Great for families and groups of friends! NOTE: MOST AIRBNB’S ARE ILLEGAL IN NYC. THIS ONE IS NOT AS RENTALS IN ONE OR TWO FAMILY BUILDINGS ARE LEGAL STILL. I bought this building in 1996 and completely rebuilt and renovated it in 2003. It's a special building with a lot of history - the famed 8BC club used to be here. It's surrounded by three community gardens on each side so there are no direct neighbors and it is truly an oasis in the city. The community garden behind the house is called La Plaza and it's a great place for children a"
14164,"Come enjoy my five bed room loft! There are multiple skylights, a large private roof deck, high ceilings and a modern kitchen. Located in prime east village, this apartment comes with all the amenities that you need. I have a full time assistant that is there to make your stay as best as possible!"
14189,"Our place is located in the neighborhood of Park Slope in Brooklyn, New York, on a beautiful landmark street, 5 minutes away from several subway lines going to Manhattan, Brooklyn and Queens (a subway ride to Manhattan is 15-20 minutes). Park Slope has a lot to offer: great restaurants, beautiful architecture and a very kid-friendly environment (Park Slope has been voted one of the best places to live in New York City). It is located 5 minutes away from Prospect Park, which was designed by the same designer as Central park (it is half the size of Central Park). Our apartment has three floors (the apartment is part of our house). Our house is from the end of the 19th century and has recently been renovated by us. The apartment has 4 bedrooms that sleep 7-8 people (1 bedroom with a king size bed, one bedroom with a queen size bed, two bedrooms with a single bed and a family room that can sleep 2 or 4 people on confortable air mattresses). There are three bathrooms, one with a bath + sho"
14402,All
14625,"Celebrity choice, 3 bedroom family duplex penthouse, designed by French Balinese designer Joel Dumas. Two level elevator access to the 7th floor 3 bedrooms and living rooms on the 6th, gourmet kitchen with 8 person dining room, leading to walk out access onto a 400ft deck with bbq, teak sofa's, dining suit and Indonesian carved joglo over hot tub. Breath taking Freedom Tour views, all day light and located 1 block from TriBeCa’s Greenwich street park, hip local restaurants and high end retail. Our penthouse has been home to many celebrities and their small family’s while recording and filming in NYC. All chose our home for its peaceful demeanor and calming energy from their hectic lives. It has taken us several years to find this balance for the home and staying here, you will feel it too."
14729,"Tall white-brick gallery space with halogen lighting, concrete floors, a 13' roll up gate, and a 15' ceiling and two dedicated parking spaces. Set your photo or film shoots. Also available for showings, openings, dinner, pop-ups or holding for central Williamsburg production. We're very centrally located 2 blocks from the Bedford L train and 1 block from Whole Foods and the Apple Store. Our friendly location manager is available as needed. 74 person maximum capacity at any time. No overnight stays, we are a film & photo studio only."
14855,"The loft like living and dining area is wrapped by 8 oversized windows overlooking Leonard St. and West Broadway. The marble counter-top kitchen includes stainless steel appliances (Sub-Zero refrigerator, Viking appliances w/ wine fridge), deep drawers, and cabinets. Furthermore, this residence includes walnut hardwood floors, high ceilings, ample closet space (including 2 large walk in closets). The beautifully landscaped roof deck includes a grill, bar, prep area and outdoor shower."
14867,A little about the spot: the room is in an amazing 3 bedroom apt in Boerum Hill. My room is very private with its own bathroom and a small additional room next door where I have a desk; there is a lot of light and the monthly rent is extremely reasonable for Boreum Hill (which is both a hip and very nice BK neighborhood!) We are a block from the g/f and 10 minutes from the a/c.
14984,"PLEASE DO NOT SEND A RESERVATION REQUEST WITHOUT COMMUNICATING WITH ME FIRST. Perfectly situated in Manhattan's legendary Greenwich Village: a truly unique 4 bed/1 bath, giant sun-drenched loft space with 20-foot ceilings, full-kitchen/dining area, washer/dryer, and private outdoor rooftop garden terrace complete with outdoor heated shower, and skyline view. Step from the bustling street energy in one of New York City's most vibrant and trendy neighborhoods into a quiet oasis of calm, comfort and class. It's the ultimate New York living experience: the city is at your doorstep, but the sound stays behind. Just steps from all subway transportation, historic Washington Square Park, NYU's Main Campus, Bleecker Street, the world-renowned ""The Blue Note"" jazz club, and several other notable fine dining, nightlife and entertainment options. You will not find a better location! Ideal for corporate teams, visiting families, couples, or singles looking for a clean, comfortable urban living"
15018,"Enjoy staying on the acclaimed Upper West Side of Manhattan. A beautiful neighborhood next to Riverside Park and the Hudson River and a few blocks from Central Park. Modern, clean, & elegant 2 bdr, 2 ba, w/ all amenities. 2/3 exp train 1 blk away A perfect & comfortable place to stay for Super Bowl week. Live like a local. Only 2 subway stops from Times Square and all the action! You are right next to Riverside Park & the Hudson River, and a few blocks from Central Park. 2 blocks from Broadway where you will find amazing restaurants, Starbucks, drugstores, grocery stores, & everything you will need. Also, right by the 2/3 express train that is only 2 stops away from Times Square & all the action!"
15095,"Clean, spacious and very comfortable 4 bedroom in Chelsea"
15115,"Spacious 3,000 SF duplex Garden Apartment in a Classic NYC Brownstone with 30' x 22' Living Room and 24' x 17' Four Season Room, large BRs and Baths, W/D, on tree-lined quiet street. Walk to subway and bus, Central Park, Museum Mile and countless restaurants. Rental bikes available, and Manhattan bike path, only a half block away. This is a real NYC living experience in a safe family neighborhood. The 3,000 SF space can accommodate up to 14 people in 5 BRs with 8 beds (see below). The entrance is at street level (five steps up to main door of building). Sleeps 15: MBR - King Size Bed (sleeps 2). BR 2– Queen plus Twin Size Bed (sleeps 3). BR 3– Queen (sleeps 2). BR 4– Two Full Size Beds (sleeps 4). BR 5 - Full size Bed (sleeps 2) Common space – LR new deluxe pull out queen sleeper couch (sleeps 2). Owner is onsite in an isolated room that has its own private entrance from outside building and will not disturb guests. The entire private duplex with four season room and backyard i"
15177,"All areas within the building except storage rooms, utility rooms which are locked. Laundry room(fee based), 4-car driveway, backyard BBQ I understand all guests come to NYC to take advantage of every minute to enjoy every aspect of the city that never sleeps. And I’d be more than happy to answer any questions the guests may have regarding their stay or otherwise. Following is my contact info: Tel: (Phone number hidden by Airbnb) Email: (Email hidden by Airbnb) And of course, Airbnb website is always the best way to communicate. The neighborhood, as it’s called, Kissena Park, is located right next to one of the city’s best parks which itself is part of the Queens Park Alley. There are a lot of churches and temples around and the community is just as diversified as the city itself. It’s here you can experience the hospitality of New Yorkers. Welcome to town!"
15292,"The perfect location for incoming guests who fly into JFK Airport and want easy access to Manhattan, this extremely huge 3 bd unique apartment sits just a few blocks from the A-train, right in the middle of many great coffee shops, bars and restaurants. Come and experience a truly unique Brooklyn neighborhood in its prime! This unique 3-bedroom apartment features 15-foot ceilings, 3 bedrooms, 2 bathrooms, 2 living rooms, a backyard with a fire pit and grill, and an amazing layout, so you can enjoy your stay with your large family without feeling crammed. This place can fit up to 12 people! So if you're ready to enjoy a family holiday with everyone and want to set up the really really large Christmas tree, this is the place! What makes this apartment even more special is the amazing detailed fire places and original mirrors and the amazing backyard - be sure to check it out! Our guests will have access to the many local bars, cafes, and restaurants within walking distance this neighborh"
15370,"Great 2 bedroom modern apartment with 2 full bathrooms. Newly renovated apartment with nice accents and amenities. Elevator building with 24 hr doormen. *Some photos have not been updated with the newest renovations. It's even nicer than the pictures show! Brand new fully renovated apartment! We are excited to offer a true 2 bedroom with 2 full bathrooms. The apartment comes with a full kitchen with modern appliances, including a new dishwasher, microwave, and coffee maker. Comfortable living room with secure WiFi, Apple TV, 50'' LED TV, and Samsung Soundbar. 1 Bathroom has a tub, the 2nd Bathroom has a huge stand-up shower. There are three central air/heat units in the apartment, 1 in each bedroom and 1 in the living room. Expandable glass dining room table that can accommodate 4-12 persons. Full access to every appliance and space minus the alcohol, food, and medicine cabinets. We keep our apartments extremely clean and hope you can respect and replicate the same style of stay. M"
15576,"PENTHOUSE located mins from LGA&JFK, Free shuttle to RESORTS CASINO, LONG ISLAND RAILROAD 14 min ride to Midtown 3 blocks away, Jamaica Center for all your shopping needs, Regal theatre 2 blocks away, Saint Johns University 10 min away. Penthouse includes : free wifi/free cable /Balcony outside of living room & bedroom/gym/ accessible roof/lounge with pool table and free cable TV near airports/shopping areas/minutes all public transportation. Come enjoy your stay. What's unique about this apartment is that it's ""very spacious"" and Includes intimate views from the bedroom terrace. The are so many accessible amenities throughout the property such as 24 hour gym access, as well as 24 hour Lounge & Rooftop access If you need my help or have questions I am always available via Phone and Email I love the that the building is minutes away from JFK & LGA airports, LIRR, and All other means of Public Transportation. Very cultural community that has it's arms open to all visitors. All public tr"
15626,"SHOOTS ONLY: With over 1100 sq of space and 11+ ft ceilings, this is a sun bathed, gorgeously furnished loft with original wide-plank floors and prewar beams. The main room features a spacious open loft style living room with a king bed and a fully equipped kitchen, while the smaller room has a king sofa bed and work station.Plenty of character and great for photo & film shoots amongst plants while still being in the midst of Williamsburg, minutes away from the subway."
15748,"This gorgeous $10 million luxury townhome in prime Chelsea consists of 6 bedrooms and 3.5 bathrooms. The home can sleep 16 guests comfortably with plenty of entertainment space to spare, at over 3000ft indoor and 1000ft outdoor. 6 bedrooms, 3.5 bathrooms, massive townhome. 10 beds total, sleeps 16. 5th Floor Master Bedroom has a Queen Size Bed, Walk-in Closet, Fireplace and has its own Bath, Bidet, Bathtub and Shower. Sleeps 2. 4th Floor Hosts 3 Bedrooms and 1 Full Bathroom. Sleeps 6. a. South Bedroom: Queen Bed, Spacious Closet, and Fireplace b. Northeast Bedroom: Queen Bed c. Northwest Bedroom: Full Bed and a Private Patio with 2 Lounge Chairs 3rd Floor Holds the Dining Room, Kitchen and a Half Bath. The Kitchen boasts a large granite island and viking appliances - perfect for a dinner party or family gathering. 2nd Floor will host 2 Bedrooms, large Living Area and Full Bathroom. Sleeps 8. a. The Living Area has a 51"" TV, couches and deco fireplace. Two aerobeds will also be availa"
